Befragtennummer;Erhebungsmonat;Erhebungswoche;Bundesland;Erhebungsgebiet;Einwohner;Polit_interesse
230053;Juni;23. Woche, Juni 2021;Brandenburg;Befragungsgebiet neue Bundesländer;KA;stark
230054;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
230055;Juni;23. Woche, Juni 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
230056;Juni;23. Woche, Juni 2021;Saarland;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;etwas
230057;Juni;23. Woche, Juni 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;kaum
230058;Juni;23. Woche, Juni 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
230059;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
230060;Juni;23. Woche, Juni 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
230061;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
230062;Juni;23. Woche, Juni 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
230063;Juni;23. Woche, Juni 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;etwas
230064;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
230065;Juni;23. Woche, Juni 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
230066;Juni;23. Woche, Juni 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;etwas
230067;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;gar nicht
230068;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
230069;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;kaum
230070;Juni;23. Woche, Juni 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;kaum
230071;Juni;23. Woche, Juni 2021;Saarland;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;etwas
230072;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;stark
230073;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
230074;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;stark
230075;Juni;23. Woche, Juni 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;stark
230076;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;etwas
230077;Juni;23. Woche, Juni 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 100 000 Einwohner;stark
230078;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;KA;stark
230079;Juni;23. Woche, Juni 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
230080;Juni;23. Woche, Juni 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;etwas
230081;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
230082;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;etwas
230083;Juni;23. Woche, Juni 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;stark
230084;Juni;23. Woche, Juni 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
230085;Juni;23. Woche, Juni 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
230086;Juni;23. Woche, Juni 2021;Bremen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;etwas
230087;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;kaum
230088;Juni;23. Woche, Juni 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;etwas
230089;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;etwas
230090;Juni;23. Woche, Juni 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;Sehr stark
230091;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;Sehr stark
230092;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
230093;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;stark
230094;Juni;23. Woche, Juni 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 100 000 Einwohner;etwas
230095;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;Sehr stark
230096;Juni;23. Woche, Juni 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
230097;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
230098;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;KA;kaum
230099;Juni;23. Woche, Juni 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
230100;Juni;23. Woche, Juni 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;Sehr stark
230101;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;Sehr stark
230102;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
230103;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;Sehr stark
230104;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;kaum
230105;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;Sehr stark
230106;Juni;23. Woche, Juni 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 100 000 Einwohner;stark
230107;Juni;23. Woche, Juni 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
230108;Juni;23. Woche, Juni 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;stark
230109;Juni;23. Woche, Juni 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
230110;Juni;23. Woche, Juni 2021;Schleswig-Holstein;Befragungsgebiet alte Bundesländer;KA;etwas
230111;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;etwas
230112;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;Sehr stark
230113;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
230114;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 100 000 Einwohner;Sehr stark
230115;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;Sehr stark
230116;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;Sehr stark
230117;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
230118;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
230119;Juni;23. Woche, Juni 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;Sehr stark
230120;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;etwas
230121;Juni;23. Woche, Juni 2021;Brandenburg;Befragungsgebiet neue Bundesländer;KA;etwas
230122;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;Sehr stark
230123;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
230124;Juni;23. Woche, Juni 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;stark
230125;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;stark
230126;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
230127;Juni;23. Woche, Juni 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
230128;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
230129;Juni;23. Woche, Juni 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
230130;Juni;23. Woche, Juni 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;etwas
230131;Juni;23. Woche, Juni 2021;Hamburg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;etwas
230132;Juni;23. Woche, Juni 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;stark
230133;Juni;23. Woche, Juni 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
230134;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;kaum
230135;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;etwas
230136;Juni;23. Woche, Juni 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;Sehr stark
230137;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
230138;Juni;23. Woche, Juni 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;stark
230139;Juni;23. Woche, Juni 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;Sehr stark
230140;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
230141;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
230142;Juni;23. Woche, Juni 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;etwas
230143;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
230144;Juni;23. Woche, Juni 2021;Brandenburg;Befragungsgebiet neue Bundesländer;KA;stark
230145;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;Sehr stark
230146;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;etwas
230147;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;etwas
230148;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;Sehr stark
230149;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;Sehr stark
230150;Juni;23. Woche, Juni 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
230151;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;Sehr stark
230152;Juni;23. Woche, Juni 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
230153;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;stark
230154;Juni;23. Woche, Juni 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
230155;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
230156;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
230157;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;etwas
230158;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;etwas
230159;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;stark
230160;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;Sehr stark
230161;Juni;23. Woche, Juni 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;etwas
230162;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;kaum
230163;Juni;23. Woche, Juni 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
230164;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;KA;kaum
230165;Juni;23. Woche, Juni 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;stark
230166;Juni;23. Woche, Juni 2021;Hessen;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
230167;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;Sehr stark
230168;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
230169;Juni;23. Woche, Juni 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;stark
230170;Juni;23. Woche, Juni 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;kaum
230171;Juni;23. Woche, Juni 2021;Hamburg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
230172;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;etwas
230173;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;stark
230174;Juni;23. Woche, Juni 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;stark
230175;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
230176;Juni;23. Woche, Juni 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;stark
230177;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;etwas
230178;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;stark
230179;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;Sehr stark
230180;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
230181;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
230182;Juni;23. Woche, Juni 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;stark
230183;Juni;23. Woche, Juni 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;stark
230184;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;etwas
230185;Juni;23. Woche, Juni 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
230186;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
230187;Juni;23. Woche, Juni 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;Sehr stark
230188;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
230189;Juni;23. Woche, Juni 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;stark
230190;Juni;23. Woche, Juni 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
230191;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;etwas
230192;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;Sehr stark
230193;Juni;23. Woche, Juni 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;stark
230194;Juni;23. Woche, Juni 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
230195;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;kaum
230196;Juni;23. Woche, Juni 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
230197;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;etwas
230198;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;etwas
230199;Juni;23. Woche, Juni 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
230200;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;Sehr stark
230201;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
230202;Juni;23. Woche, Juni 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;etwas
230203;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
230204;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
230205;Juni;23. Woche, Juni 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 100 000 Einwohner;stark
230206;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;etwas
230207;Juni;23. Woche, Juni 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
230208;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
230209;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
230210;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;etwas
230211;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
230212;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;kaum
230213;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;etwas
230214;Juni;23. Woche, Juni 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;stark
230215;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;Sehr stark
230216;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;stark
230217;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;Sehr stark
230218;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;etwas
230219;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;Sehr stark
230220;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;Sehr stark
230221;Juni;23. Woche, Juni 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;etwas
230222;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;stark
230223;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;KA;stark
230224;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;etwas
230225;Juni;23. Woche, Juni 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;Sehr stark
230226;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;stark
230227;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
230228;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
230229;Juni;23. Woche, Juni 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
230230;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;Sehr stark
230231;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;stark
230232;Juni;23. Woche, Juni 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
230233;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;Sehr stark
230234;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
230235;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
230236;Juni;23. Woche, Juni 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;Sehr stark
230237;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
230238;Juni;23. Woche, Juni 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
230239;Juni;23. Woche, Juni 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;stark
230240;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
230241;Juni;23. Woche, Juni 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
230242;Juni;23. Woche, Juni 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;kaum
230243;Juni;23. Woche, Juni 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;Sehr stark
230244;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
230245;Juni;23. Woche, Juni 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;Sehr stark
230246;Juni;23. Woche, Juni 2021;Saarland;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;kaum
230247;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;Sehr stark
230248;Juni;23. Woche, Juni 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;etwas
230249;Juni;23. Woche, Juni 2021;Hamburg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
230250;Juni;23. Woche, Juni 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;stark
230251;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;stark
230252;Juni;23. Woche, Juni 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
230253;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
230254;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
230255;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;etwas
230256;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;Sehr stark
230257;Juni;23. Woche, Juni 2021;Schleswig-Holstein;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
230258;Juni;23. Woche, Juni 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;stark
230259;Juni;23. Woche, Juni 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
230260;Juni;23. Woche, Juni 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;Sehr stark
230261;Juni;23. Woche, Juni 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;stark
230262;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
230263;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;Sehr stark
230264;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;stark
230265;Juni;23. Woche, Juni 2021;Hamburg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
230266;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;Sehr stark
230267;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;Sehr stark
230268;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;stark
230269;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 100 000 Einwohner;Sehr stark
230270;Juni;23. Woche, Juni 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;Sehr stark
230271;Juni;23. Woche, Juni 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
230272;Juni;23. Woche, Juni 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;etwas
230273;Juni;23. Woche, Juni 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;Sehr stark
